X1 G1 ('M1', 'M4') dur=3 cost=2890
X2 G1 ('M1', 'M5') dur=5 cost=3738
X3 G1 ('M1', 'M5') dur=3 cost=2890
X4 G1 ('M1', 'M7') dur=5 cost=3593
X5 G1 ('M1', 'M7') dur=4 cost=3019
X6 G1 ('M1',) dur=4 cost=3090
X7 G1 ('M1',) dur=2 cost=2351
X8 G1 ('M2', 'M8') dur=5 cost=4089
X9 G1 ('M2', 'M8') dur=7 cost=4935
X10 G1 ('M2',) dur=3 cost=2893
X11 G1 ('M2',) dur=5 cost=3739
X12 G1 ('M3', 'M4') dur=3 cost=2919
X13 G1 ('M3', 'M5') dur=5 cost=3767
X14 G1 ('M3', 'M5') dur=3 cost=2919
X15 G1 ('M3',) dur=3 cost=2949
X16 G1 ('M3', 'M7') dur=5 cost=3525
X17 G1 ('M3', 'M7') dur=3 cost=2952
X18 G1 ('M3',) dur=3 cost=2753
X19 G1 ('M3',) dur=2 cost=2380
X20 G1 ('M4', 'M1') dur=5 cost=3738
X21 G1 ('M4', 'M3') dur=5 cost=3767
X22 G1 ('M4',) dur=2 cost=2360
X23 G1 ('M5', 'M1') dur=5 cost=3738
X24 G1 ('M5', 'M3') dur=5 cost=3767
X25 G1 ('M5', 'M7') dur=5 cost=3716
X26 G1 ('M5',) dur=4 cost=3207
X27 G1 ('M5',) dur=2 cost=2360
X28 G1 ('M6', 'M9') dur=7 cost=6481
X29 G1 ('M6', 'M9') dur=6 cost=5698
X30 G1 ('M6', 'M10') dur=8 cost=6681
X31 G1 ('M6', 'M10') dur=7 cost=5898
X32 G1 ('M6',) dur=6 cost=5870
X33 G1 ('M6',) dur=5 cost=5087
X34 G1 ('M3',) dur=5 cost=3868
X35 G1 ('M7', 'M1') dur=5 cost=3593
X36 G1 ('M7', 'M1') dur=3 cost=2854
X37 G1 ('M7', 'M3') dur=5 cost=3525
X38 G1 ('M7', 'M5') dur=5 cost=3716
X39 G1 ('M7', 'M5') dur=3 cost=2868
X40 G1 ('M7',) dur=4 cost=2943
X41 G1 ('M7',) dur=2 cost=2369
X42 G1 ('M8', 'M2') dur=5 cost=4089
X43 G1 ('M8', 'M2') dur=7 cost=4935
X44 G1 ('M8',) dur=4 cost=3311
X45 G1 ('M8',) dur=6 cost=4157
X46 G1 ('M9', 'M6') dur=8 cost=6481
X47 G1 ('M9', 'M6') dur=7 cost=5698
X48 G1 ('M9',) dur=6 cost=5318
X49 G1 ('M9',) dur=4 cost=4536
X50 G1 ('M10', 'M6') dur=8 cost=6681
X51 G1 ('M10', 'M6') dur=7 cost=5898
X52 G1 ('M10',) dur=6 cost=5518
X53 G1 ('M10',) dur=4 cost=4736
X54 G1 ('M1', 'M4') dur=4 cost=2194
X55 G1 ('M1', 'M5') dur=4 cost=2194
X56 G1 ('M1', 'M7') dur=5 cost=2897
X57 G1 ('M1', 'M7') dur=4 cost=2323
